num_removed,accuracy
0,0.955
1,0.955
2,0.955
3,0.955
4,0.955
5,0.955
6,0.955
7,0.955
8,0.955
9,0.955
10,0.955
11,0.955
12,0.955
13,0.955
14,0.955
15,0.955
16,0.955
17,0.955
18,0.955
19,0.955
20,0.955
21,0.955
22,0.955
23,0.955
24,0.955
25,0.955
26,0.955
27,0.955
28,0.955
29,0.955
30,0.955
31,0.955
32,0.955
33,0.955
34,0.955
35,0.955
36,0.955
37,0.955
38,0.955
39,0.955
40,0.955
41,0.955
42,0.955
43,0.955
44,0.955
45,0.955
46,0.955
47,0.955
48,0.955
49,0.955
50,0.955
51,0.955
52,0.955
53,0.955
54,0.955
55,0.955
56,0.955
57,0.955
58,0.955
59,0.955
60,0.955
61,0.955
62,0.955
63,0.955
64,0.955
65,0.955
66,0.955
67,0.955
68,0.955
69,0.955
70,0.955
71,0.955
72,0.955
73,0.955
74,0.955
75,0.955
76,0.955
77,0.955
78,0.955
79,0.955
80,0.955
81,0.955
82,0.955
83,0.955
84,0.955
85,0.955
86,0.955
87,0.955
88,0.955
89,0.955
90,0.955
91,0.955
92,0.955
93,0.955
94,0.955
95,0.955
96,0.955
97,0.955
98,0.955
99,0.955
100,0.955
101,0.955
102,0.955
103,0.955
104,0.955
105,0.955
106,0.955
107,0.955
108,0.955
109,0.955
110,0.955
111,0.955
112,0.955
113,0.955
114,0.955
115,0.955
116,0.955
117,0.955
118,0.955
119,0.955
120,0.955
121,0.955
122,0.955
123,0.955
124,0.955
125,0.955
126,0.955
127,0.955
128,0.955
129,0.955
130,0.955
131,0.955
132,0.955
133,0.955
134,0.955
135,0.955
136,0.955
137,0.955
138,0.955
139,0.955
140,0.955
141,0.955
142,0.955
143,0.955
144,0.955
145,0.955
146,0.955
147,0.955
148,0.955
149,0.955
150,0.955
151,0.955
152,0.955
153,0.955
154,0.955
155,0.955
156,0.955
157,0.955
158,0.955
159,0.955
160,0.955
161,0.955
162,0.955
163,0.955
164,0.955
165,0.955
166,0.955
167,0.955
168,0.955
169,0.955
170,0.955
171,0.955
172,0.955
173,0.955
174,0.954
175,0.9525
176,0.955
177,0.955
178,0.955
179,0.955
180,0.955
181,0.955
182,0.955
183,0.955
184,0.955
185,0.955
186,0.955
187,0.9555
188,0.9555
189,0.9555
190,0.9555
191,0.9555
192,0.9555
193,0.9555
194,0.9555
195,0.9555
196,0.9555
197,0.9555
198,0.9555
199,0.9555
200,0.9555
201,0.9555
202,0.9555
203,0.9555
204,0.9555
205,0.9555
206,0.9555
207,0.9555
208,0.9555
209,0.9555
210,0.9555
211,0.9555
212,0.9555
213,0.9555
214,0.9555
215,0.9555
216,0.9555
217,0.9555
218,0.9555
219,0.9555
220,0.9555
221,0.9555
222,0.9555
223,0.9555
224,0.9555
225,0.9555
226,0.9555
227,0.9555
228,0.9555
229,0.9555
230,0.9555
231,0.9555
232,0.9555
233,0.9555
234,0.9555
235,0.9555
236,0.9555
237,0.9555
238,0.9555
239,0.9555
240,0.9555
241,0.9555
242,0.9555
243,0.9555
244,0.9555
245,0.9555
246,0.9555
247,0.9555
248,0.9555
249,0.9555
250,0.9555
251,0.9555
252,0.9555
253,0.9555
254,0.9555
255,0.9555
256,0.9555
257,0.9555
258,0.955
259,0.955
260,0.955
261,0.955
262,0.955
263,0.9555
264,0.956
265,0.956
266,0.956
267,0.956
268,0.956
269,0.956
270,0.956
271,0.955
272,0.955
273,0.955
274,0.955
275,0.955
276,0.955
277,0.955
278,0.955
279,0.955
280,0.955
281,0.955
282,0.955
283,0.955
284,0.955
285,0.955
286,0.955
287,0.955
288,0.955
289,0.955
290,0.955
291,0.955
292,0.955
293,0.955
294,0.955
295,0.955
296,0.955
297,0.955
298,0.955
299,0.955
300,0.955
301,0.955
302,0.955
303,0.955
304,0.955
305,0.955
306,0.955
307,0.955
